x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,weight
col6a3,nt5e,col6a3---nt5e,basal,MIIC,P,NA,26.59407,0.192799662844492,26.59407,14.833341,199,11.760729,0.0852620372137639,2,FALSE,+,0.347651928549044,0.5,0.984919528784952,NA
acvr2b,mapk9,acvr2b---mapk9,basal,MIIC,P,NA,26.09799,0.189203219850099,26.09799,14.385248,199,11.712742,0.0849141447166426,1,FALSE,-,-0.22632629256326,0.5,0.5,NA
ccnb1,chd1,ccnb1---chd1,basal,MIIC,P,NA,32.948403,0.238866822177442,32.948403,21.47684,199,11.471563,0.0831656635745996,2,FALSE,+,0.50705898252525,0.5,0.999859051955379,NA
bcl2l1,smad4,bcl2l1---smad4,basal,MIIC,P,NA,21.436653,0.155409813951545,21.436653,9.967993,199,11.46866,0.0831446176263398,-2,FALSE,-,-0.393711854496867,0.995088282933832,0.5,NA
adgra2,peg3,adgra2---peg3,basal,MIIC,P,NA,26.284789,0.190557461010617,26.284789,14.838529,199,11.44626,0.082982223812692,1,FALSE,+,0.24108836938752,0.5,0.5,NA
gsk3b,myc,gsk3b---myc,basal,MIIC,P,NA,21.242057,0.153999046694375,21.242057,9.84074,199,11.401317,0.0826563994748896,1,FALSE,-,-0.369824683759655,0.5,0.5,NA
rad51c,sf3b1,rad51c---sf3b1,basal,MIIC,P,NA,26.283826,0.190550479526575,26.283826,14.958768,199,11.325058,0.0821035427858286,1,FALSE,+,0.384145698465491,0.5,5.54821805137322e-4,NA
cxcr1,prkg1,cxcr1---prkg1,basal,MIIC,P,NA,26.069048,0.188993398343198,26.069048,14.837627,199,11.231421,0.0814247003961616,1,FALSE,+,0.361178895370057,0.5,0.5,NA
abcc10,adam10,abcc10---adam10,basal,MIIC,P,NA,21.064457,0.152711495743311,21.064457,9.834723,199,11.229734,0.0814124701120713,1,FALSE,-,-0.314485142540647,0.5,0.0308169044968988,NA
map2k1,pms2,map2k1---pms2,basal,MIIC,P,NA,20.84797,0.151142024781919,20.84797,9.687045,199,11.160925,0.0809136238654957,-2,FALSE,+,0.311239886447281,0.664199667247006,0.5,NA
casp8,pms2,casp8---pms2,basal,MIIC,P,NA,21.029498,0.152458052648163,21.029498,9.925354,199,11.104144,0.08050197729707,2,FALSE,+,0.392639699710131,0.5,0.988206358697896,NA
abcc10,acvr2b,abcc10---acvr2b,basal,MIIC,P,NA,20.892678,0.151466145434623,20.892678,9.855067,199,11.037611,0.0800196314219169,1,FALSE,+,0.351772407058818,0.5,0.5,NA
cbfb,itgav,cbfb---itgav,basal,MIIC,P,NA,31.5332,0.228606991273165,31.5332,20.528031,199,11.005169,0.0797844358816329,1,FALSE,+,0.370431788712888,0.016746288421439,0.5,NA
map3k1,ncoa3,map3k1---ncoa3,basal,MIIC,P,NA,20.945624,0.151849989312185,20.945624,10.008372,199,10.937252,0.079292056388708,1,FALSE,+,0.428975234078062,0.5,0.5,NA
map2k1,map2k5,map2k1---map2k5,basal,MIIC,P,NA,20.922717,0.151683919888559,20.922717,10.025766,199,10.896951,0.0789998852688946,-2,FALSE,+,0.455107806363945,0.980237032581208,0.5,NA
ctnna1,rbl2,ctnna1---rbl2,basal,MIIC,P,NA,20.432484,0.148129866029362,20.432484,9.535661,199,10.896823,0.0789989573042452,1,FALSE,+,0.267517742160913,0.237461488760765,0.12563778163803,NA
ctnna1,sf3b1,ctnna1---sf3b1,basal,MIIC,P,NA,20.474354,0.148433411965855,20.474354,9.750172,199,10.724182,0.0777473577336216,1,FALSE,+,0.313447256658284,0.5,0.5,NA
akt1s1,src,akt1s1---src,basal,MIIC,P,NA,20.548678,0.148972240439317,20.548678,9.867607,199,10.681071,0.0774348148898639,1,FALSE,+,0.393157291239975,0.5,0.5,NA
cacna2d3,tgfb3,cacna2d3---tgfb3,basal,MIIC,P,NA,20.454606,0.148290244419787,20.454606,9.888012,199,10.566594,0.0766048882557139,1,FALSE,+,0.450503445448276,0.5,0.5,NA
acvr1,mmp11,acvr1---mmp11,basal,MIIC,P,NA,25.360329,0.183855381324686,25.360329,14.939652,199,10.420677,0.0755470303045512,1,FALSE,+,0.404971684135467,0.5,0.5,NA
fgf1,pdgfrb,fgf1---pdgfrb,basal,MIIC,P,NA,20.266855,0.146929101522189,20.266855,9.846663,199,10.420192,0.0755435141884967,6,FALSE,+,0.382158922366252,0.985961594538226,0.767312969829953,NA
mapk6,tbl1xr1,mapk6---tbl1xr1,basal,MIIC,P,NA,19.966842,0.144754090128711,19.966842,9.563612,199,10.40323,0.0754205443730015,1,FALSE,+,0.254114511953708,0.5,0.5,NA
adam17,stat3,adam17---stat3,basal,MIIC,P,NA,19.966842,0.144754090128711,19.966842,9.563612,199,10.40323,0.0754205443730015,1,FALSE,+,0.341533573448713,0.5,0.5,NA
akt1s1,eif4e,akt1s1---eif4e,basal,MIIC,P,NA,25.121019,0.182120449916469,25.121019,14.754837,199,10.366182,0.0751519566047861,2,FALSE,-,-0.363408225527915,0.5,0.999985853750657,NA
akt1,nras,akt1---nras,basal,MIIC,P,NA,25.320794,0.183568763493322,25.320794,14.970354,199,10.35044,0.0750378314523556,1,FALSE,-,-0.453209329240446,0.5,0.5,NA
acvrl1,pms2,acvrl1---pms2,basal,MIIC,P,NA,20.205044,0.146480988842931,20.205044,9.877841,199,10.327203,0.0748693696198675,1,FALSE,-,-0.423525846696889,0.5,0.5,NA
acvr1b,nr2f1,acvr1b---nr2f1,basal,MIIC,P,NA,20.203198,0.146467605852753,20.203198,9.894561,199,10.308637,0.0747347712473592,1,FALSE,+,0.276724613140287,0.5,0.5,NA
jag1,mecom,jag1---mecom,basal,MIIC,P,NA,20.190723,0.146377165548054,20.190723,9.895845,199,10.294878,0.0746350222972708,1,FALSE,+,0.411494616063286,0.5,0.5,NA
