x,y,weight,subtype,method,edge_id
taf1,asxl2,0.06366565921146883,luma,ARACNE,asxl2---taf1
abcc1,igf1,0.06359655099953798,luma,ARACNE,abcc1---igf1
pdgfra,stmn2,0.06357129226813107,luma,ARACNE,pdgfra---stmn2
map2k2,bmf,0.06356247724355768,luma,ARACNE,bmf---map2k2
syne1,ackr3,0.06355908625552065,luma,ARACNE,ackr3---syne1
abcc1,mapk3,0.06347866094532062,luma,ARACNE,abcc1---mapk3
jak1,akt1s1,0.06331766455869037,luma,ARACNE,akt1s1---jak1
myh9,mtor,0.06285139724769007,luma,ARACNE,mtor---myh9
ncstn,eif4e,0.06280461806238335,luma,ARACNE,eif4e---ncstn
tsc2,mtor,0.06277958265469685,luma,ARACNE,mtor---tsc2
ncoa2,rbl2,0.0627063055217354,luma,ARACNE,ncoa2---rbl2
jak1,afdn,0.06257974103870634,luma,ARACNE,afdn---jak1
arid1a,ncoa2,0.06243019051517784,luma,ARACNE,arid1a---ncoa2
fgf1,ackr3,0.062368734189336195,luma,ARACNE,ackr3---fgf1
itgav,smad7,0.06235109108379522,luma,ARACNE,itgav---smad7
myc,smad7,0.06204970063362314,luma,ARACNE,myc---smad7
smad1,smad7,0.06203011876497211,luma,ARACNE,smad1---smad7
ncor2,runx1,0.06195212149094953,luma,ARACNE,ncor2---runx1
jak1,fn1,0.061875403718087085,luma,ARACNE,fn1---jak1
jak1,nf2,0.06187539878189252,luma,ARACNE,jak1---nf2
eif5a2,runx1,0.061571290946892177,luma,ARACNE,eif5a2---runx1
jak1,sdc4,0.06154967178209336,luma,ARACNE,jak1---sdc4
wfdc2,hes1,0.061098667819766916,luma,ARACNE,hes1---wfdc2
heyl,acvrl1,0.06108891443205078,luma,ARACNE,acvrl1---heyl
tsc2,asxl2,0.06106486877191131,luma,ARACNE,asxl2---tsc2
casp9,map4,0.06106253528439698,luma,ARACNE,casp9---map4
gldc,nfkb1,0.060952357252917366,luma,ARACNE,gldc---nfkb1
itgav,hsd17b4,0.06068453261283224,luma,ARACNE,hsd17b4---itgav
pbrm1,afdn,0.06035468771483199,luma,ARACNE,afdn---pbrm1
hsd17b6,afdn,0.06016574186780943,luma,ARACNE,afdn---hsd17b6
akt1s1,hsd17b6,0.0601482540883822,luma,ARACNE,akt1s1---hsd17b6
utrn,afdn,0.060144092119648995,luma,ARACNE,afdn---utrn
sf3b1,map4,0.06005100197883273,luma,ARACNE,map4---sf3b1
kdm6a,eif4e,0.06004192208790027,luma,ARACNE,eif4e---kdm6a
eif4e,akr1c4,0.0599698310372867,luma,ARACNE,akr1c4---eif4e
taf1,abcc1,0.059956644622830346,luma,ARACNE,abcc1---taf1
cdh1,ctcf,0.0599479639741638,luma,ARACNE,cdh1---ctcf
pbrm1,akt1s1,0.05992883877129529,luma,ARACNE,akt1s1---pbrm1
adam10,arid1a,0.05975344744538358,luma,ARACNE,adam10---arid1a
map2k2,acvr1,0.05972422311789849,luma,ARACNE,acvr1---map2k2
pdgfra,map2k2,0.05961546613628599,luma,ARACNE,map2k2---pdgfra
cxcr1,smad2,0.059598757510249456,luma,ARACNE,cxcr1---smad2
eif5a2,cyp11a1,0.05957643874113838,luma,ARACNE,cyp11a1---eif5a2
ncoa2,myc,0.059539249250302184,luma,ARACNE,myc---ncoa2
pms2,stat3,0.05904394665147095,luma,ARACNE,pms2---stat3
sdc4,src,0.05891827422649154,luma,ARACNE,sdc4---src
akt1s1,rps6kb2,0.058551128886658255,luma,ARACNE,akt1s1---rps6kb2
eif5a2,stat3,0.05854134725709237,luma,ARACNE,eif5a2---stat3
tnk2,prkcq,0.05846308707140224,luma,ARACNE,prkcq---tnk2
utrn,map4,0.05834594808167992,luma,ARACNE,map4---utrn
fgf1,eif4e,0.058215793109646086,luma,ARACNE,eif4e---fgf1
