x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,consensus
mapk6,tnk2,mapk6---tnk2,basal,MIIC,N,map2k1 [100%],18.208084,0.13200358035623,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
ncoa2,rad51,ncoa2---rad51,basal,MIIC,N,sf3b1 [100%],16.874466,0.122335218170098,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
eif4e,map2k2,eif4e---map2k2,basal,MIIC,N,adam10 [100%],16.514208,0.119723447164869,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
ccnd2,dab2,ccnd2---dab2,basal,MIIC,N,csf1r [31%];tgfb3 [69%],33.029611,0.239455557749706,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
heyl,mecom,heyl---mecom,basal,MIIC,N,adgra2 [100%],19.802369,0.143561706302278,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
col6a3,nfkb2,col6a3---nfkb2,basal,MIIC,N,col12a1 [100%],14.564006,0.105585021264709,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
mapk9,rad51,mapk9---rad51,basal,MIIC,N,adam10 [100%],18.02423,0.130670689632372,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
itgav,rbl2,itgav---rbl2,basal,MIIC,N,jak1 [100%],24.490652,0.177550463258982,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
notch3,pdgfrb,notch3---pdgfrb,basal,MIIC,N,heyl [100%],14.451336,0.104768194881508,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
adam17,jak1,adam17---jak1,basal,MIIC,N,adam10 [100%],16.878848,0.122366986459892,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
itgav,map2k1,itgav---map2k1,basal,MIIC,N,adam10 [100%],37.661352,0.273034400821978,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
