subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info
luma,bcl2l1---notch2,notch2,bcl2l1,notch2 -> bcl2l1 (weak),0.5,0.10042804822728,0.39957195177272,26.128274
luma,map2k2---smad4,smad4,map2k2,smad4 -> map2k2 (weak),0.5,0.107921433388991,0.392078566611009,88.510382
luma,map2k2---tnk2,tnk2,map2k2,tnk2 -> map2k2 (weak),0.5,0.107921433393464,0.392078566606536,103.803573
luma,map2k2---mtor,mtor,map2k2,mtor -> map2k2 (weak),0.5,0.107921434678101,0.392078565321899,61.255518
luma,abcc10---map2k2,abcc10,map2k2,abcc10 -> map2k2 (weak),0.107921435154644,0.5,0.39207856484535597,101.374289
luma,map2k2---notch3,notch3,map2k2,notch3 -> map2k2 (weak),0.5,0.107921442051713,0.392078557948287,76.74224
luma,map2k2---syne1,syne1,map2k2,syne1 -> map2k2 (weak),0.5,0.107975150538011,0.392024849461989,64.496818
luma,akt1s1---map2k2,akt1s1,map2k2,akt1s1 -> map2k2 (weak),0.108010099050742,0.5,0.391989900949258,76.588527
luma,map2k2---src,src,map2k2,src -> map2k2 (weak),0.5,0.109348624849613,0.390651375150387,69.353433
luma,ncoa3---ncor1,ncoa3,ncor1,ncoa3 -> ncor1 (weak),0.110290772479133,0.5,0.389709227520867,26.00349
luma,ncstn---nras,nras,ncstn,nras -> ncstn (weak),0.483132104746632,0.102015633144451,0.381116471602181,62.324315
luma,map2k2---nfkb2,nfkb2,map2k2,nfkb2 -> map2k2 (weak),0.5,0.126001879519254,0.373998120480746,68.381371
luma,gldc---rab25,gldc,rab25,gldc -> rab25 (weak),0.14467102573983,0.5,0.35532897426016996,18.145985
luma,pdgfra---tnk2,tnk2,pdgfra,tnk2 -> pdgfra (weak),0.5,0.145614132940031,0.354385867059969,61.27502
luma,bcl2l1---mapk3,mapk3,bcl2l1,mapk3 -> bcl2l1 (weak),0.5,0.168614140445143,0.331385859554857,55.963425
luma,map2k2---rps6kb2,map2k2,rps6kb2,map2k2 -> rps6kb2 (weak),0.170154709887901,0.5,0.329845290112099,49.402406
luma,eif5a2---ncoa3,ncoa3,eif5a2,ncoa3 -> eif5a2 (weak),0.5,0.172038754681434,0.32796124531856596,50.00567
luma,arid5b---ccnd1,arid5b,ccnd1,arid5b -> ccnd1 (weak),0.172331532439227,0.5,0.327668467560773,64.64609
luma,ccne1---rps6kb2,ccne1,rps6kb2,ccne1 -> rps6kb2 (weak),0.179079521742328,0.5,0.320920478257672,79.067288
luma,ccnd2---cdk6,cdk6,ccnd2,undirected,0.293631584138776,8.73368971859414e-13,0.29363158413790263,154.001078
luma,cdk6---pdgfra,cdk6,pdgfra,undirected,0.0611293666908349,0.293631584149259,0.2325022174584241,131.8204
lumb,acvr1b---spen,acvr1b,spen,acvr1b -> spen,0.00132959859082541,0.998157303957755,0.9968277053669297,48.433178
lumb,ptk2---slc19a1,slc19a1,ptk2,slc19a1 -> ptk2,0.986628553123054,6.62748904505102e-4,0.9859658042185488,34.019723
lumb,notch3---pdgfrb,notch3,pdgfrb,notch3 -> pdgfrb,7.52907928414178e-6,0.969982460673724,0.9699749315944398,92.370085
lumb,rad51c---runx1,rad51c,runx1,rad51c -> runx1,0.0374445280500648,0.998632085863509,0.9611875578134442,23.078017
lumb,ccnb1---dlec1,dlec1,ccnb1,dlec1 -> ccnb1,0.999884837711203,0.0390671016518041,0.9608177360593989,19.850606
lumb,mapk1---tsc2,mapk1,tsc2,mapk1 -> tsc2,0.0513428062381164,0.979638785902901,0.9282959796647846,32.251121
lumb,asxl1---foxo3,foxo3,asxl1,foxo3 -> asxl1,0.928072643013414,0.00464800336774522,0.9234246396456688,42.290558
lumb,ncoa3---sdc4,sdc4,ncoa3,sdc4 -> ncoa3,0.930064829686142,0.0116576962909771,0.9184071333951649,30.607032
lumb,asxl2---map2k2,asxl2,map2k2,asxl2 -> map2k2,0.0815238934036945,0.997817212033128,0.9162933186294335,36.366972
lumb,ctcf---e2f4,e2f4,ctcf,e2f4 -> ctcf,0.909074971505304,6.68321579383277e-5,0.9090081393473657,30.834692
lumb,cyp19a1---thsd7a,thsd7a,cyp19a1,thsd7a -> cyp19a1 (weak),0.999857315322141,0.140066633071158,0.859790682250983,17.58382
lumb,mapk6---tnk2,mapk6,tnk2,mapk6 -> tnk2 (weak),0.10362953909479,0.886225568429354,0.782596029334564,44.150872
lumb,cbfb---erbb3,erbb3,cbfb,erbb3 -> cbfb,0.713967580037182,0.0327491332830481,0.6812184467541339,27.204328
lumb,cbfb---cdh1,cdh1,cbfb,cdh1 -> cbfb,0.658070034054563,5.3879593798391e-6,0.6580646460951831,48.025717
lumb,epcam---ncstn,ncstn,epcam,ncstn -> epcam (weak),0.725369355587026,0.114316591185347,0.611052764401679,50.107834
lumb,adgra2---pdgfrb,adgra2,pdgfrb,adgra2 -> pdgfrb,5.59860328788039e-10,0.5,0.4999999994401397,174.496622
lumb,dab2---pdgfrb,dab2,pdgfrb,dab2 -> pdgfrb,5.59860329346515e-10,0.5,0.4999999994401397,89.417552
lumb,pdgfrb---plagl1,plagl1,pdgfrb,plagl1 -> pdgfrb,0.5,5.59860328793241e-10,0.4999999994401397,83.923441
lumb,pdgfrb---ptprm,ptprm,pdgfrb,ptprm -> pdgfrb,0.5,5.5986087547836e-10,0.4999999994401391,105.826156
lumb,hey2---pdgfrb,hey2,pdgfrb,hey2 -> pdgfrb,5.59894755645432e-10,0.5,0.49999999944010526,100.967477
lumb,dll1---pdgfrb,dll1,pdgfrb,dll1 -> pdgfrb,5.60002842735396e-10,0.5,0.4999999994399972,89.145869
lumb,pdgfrb---runx1,runx1,pdgfrb,runx1 -> pdgfrb,0.5,6.67270776030578e-10,0.4999999993327292,71.055765
lumb,ccnd2---cdk6,cdk6,ccnd2,cdk6 -> ccnd2,0.5,8.35238561349431e-7,0.49999916476143863,133.971397
lumb,notch1---pdgfrb,notch1,pdgfrb,notch1 -> pdgfrb,1.76218215714212e-6,0.5,0.49999823781784286,54.211627
lumb,arid5b---ccnd2,arid5b,ccnd2,arid5b -> ccnd2,6.77558851330802e-6,0.5,0.4999932244114867,47.80928
lumb,cbfb---map2k1,map2k1,cbfb,map2k1 -> cbfb,0.5,1.43781525647797e-5,0.4999856218474352,22.850568
lumb,bcl2l1---ncoa3,bcl2l1,ncoa3,bcl2l1 -> ncoa3,5.46700848500661e-4,0.5,0.49945329915149933,24.878164
lumb,ncstn---rad51c,ncstn,rad51c,ncstn -> rad51c,0.00162343023734809,0.5,0.49837656976265193,20.121104
lumb,casp8---mapk14,mapk14,casp8,mapk14 -> casp8,0.5,0.00182992996566835,0.49817007003433167,60.430539
lumb,adam10---jak1,adam10,jak1,adam10 -> jak1,0.00225820069094966,0.5,0.4977417993090503,102.206538
lumb,itgav---jak1,itgav,jak1,itgav -> jak1,0.00230407167915766,0.5,0.49769592832084236,51.539251
