subtype,x,y,direction,is_directed,info
basal,ctcf,e2f4,undirected,NA,10.664526
basal,e2f3,mapt,undirected,NA,10.657733
basal,mapk14,myc,undirected,NA,10.652731
basal,ccne1,mapk4,undirected,NA,10.640203
basal,mapt,pten,undirected,NA,10.573385
basal,ctnna1,jak1,undirected,NA,10.562089
basal,bcl2l1,mmp27,undirected,FALSE,10.534988
basal,ccne1,kdm6a,undirected,NA,10.521453
basal,casp8,ncor1,undirected,NA,10.510099
basal,hdac1,mmp11,undirected,FALSE,10.463631
basal,akr1c4,e2f3,undirected,NA,10.418087
basal,hes2,src,undirected,FALSE,10.411753
basal,abcc10,cdk2,undirected,NA,10.402317
basal,bcl2l1,ccnd2,undirected,NA,10.364852
basal,adgra2,ccne1,undirected,NA,10.34877
basal,arid1a,mmp1,undirected,FALSE,10.306604
basal,cyp21a2,runx1,undirected,NA,10.292281
basal,cdkn1a,epcam,undirected,NA,10.291916
basal,ccnb1,heyl,undirected,NA,10.287742
basal,ccne1,ncstn,undirected,FALSE,10.284312
basal,ccnd1,gdf11,undirected,FALSE,10.275124
basal,cdkn1b,rpgr,undirected,NA,10.246806
basal,mapk14,vegfa,undirected,NA,10.236418
basal,casp8,rad51c,undirected,NA,10.21938
basal,gata3,mapt,undirected,NA,10.165535
basal,pten,vegfa,undirected,NA,10.158562
basal,casp9,gpr32,undirected,FALSE,10.132216
basal,akt1,foxo3,undirected,NA,10.095406
basal,casp8,tnk2,undirected,NA,10.092277
basal,ccnd1,hist1h2bc,undirected,FALSE,10.058721
basal,ccnd2,e2f3,undirected,NA,10.035631
basal,jak1,stk11,undirected,NA,10.028839
basal,cdk2,fancd2,undirected,NA,10.01704
basal,ccnd1,mmp14,undirected,FALSE,9.883091
basal,jak1,mapk6,undirected,NA,9.740275
her2,adam10,jak1,undirected,FALSE,103.772969
her2,itgav,jak1,undirected,NA,75.06275
her2,col12a1,mmp11,undirected,FALSE,72.992439
her2,jak1,stat3,stat3 -> jak1,TRUE,72.58792
her2,jak1,mapk9,undirected,NA,66.462253
her2,jak1,map2k1,undirected,NA,65.938437
her2,hsd17b6,jak1,undirected,NA,65.58985
her2,jak1,sf3b1,undirected,NA,63.786636
her2,adam17,jak1,adam17 -> jak1,TRUE,61.76228
her2,col6a3,mmp11,undirected,NA,60.519151
her2,cdkn1b,zfp36l1,undirected,FALSE,55.846737
her2,mmp11,pdgfrb,undirected,FALSE,55.766821
her2,gata3,tbx3,undirected,FALSE,55.07603
her2,jak1,mapk6,undirected,NA,54.908488
her2,ccnb1,chd1,undirected,FALSE,54.195357
her2,cbfb,jak1,undirected,NA,54.177734
her2,jak1,map4,undirected,NA,54.127961
her2,acvr2b,jak1,acvr2b -> jak1,TRUE,53.111185
her2,jak1,smad4,smad4 -> jak1,TRUE,49.981065
her2,jak1,ncoa2,undirected,NA,48.542389
her2,akt1s1,jak1,undirected,NA,48.480088
her2,foxp1,jak1,foxp1 -> jak1,TRUE,48.478222
her2,arid5b,jak1,jak1 -> arid5b,TRUE,47.953259
her2,fn1,mmp11,undirected,NA,47.805747
her2,casp8,sf3b1,undirected,FALSE,46.712976
her2,eif4e,jak1,undirected,NA,46.600906
her2,jak1,utrn,undirected,NA,46.171772
her2,gata3,hsd17b2,undirected,FALSE,45.742296
her2,casp8,mapk14,undirected,FALSE,45.485578
her2,jak1,rbl2,undirected,NA,45.257927
her2,jak1,ncor1,ncor1 -> jak1,TRUE,44.766966
her2,ctnna1,jak1,undirected,NA,44.592873
her2,mmp1,mmp3,undirected,FALSE,44.334081
her2,jak1,kdm6a,undirected,NA,43.434185
her2,jak1,mapk14,undirected,NA,42.845552
her2,jak1,plagl1,plagl1 -> jak1,TRUE,42.601644
her2,cdkn1b,ppp2cb,undirected,NA,41.43633
her2,casp8,jak1,undirected,FALSE,40.748348
her2,cdk6,gata3,gata3 -> cdk6 (weak),TRUE,40.323039
